Trial,Product1 Tally,Product1 Throughput,Product2 Tally,Product2 Throughput,Product 3 Tally,Product3 Throughput,Utilization I1,Percentage BlockedI1,Utilization I2,PercentageBlockedI2,,
0,275,0.09154136,15,0.004993165,14,0.004660287,100,0,19.74334208,74.90068994,,
1,212,0.07065851,22,0.007332487,17,0.005666013,100,0,23.53532248,71.80460093,,
2,254,0.084304413,12,0.003982886,8,0.002655257,100,0,14.98626508,78.87716288,,
3,279,0.092898225,19,0.006326402,12,0.003995623,99.67003829,0.114295619,23.28602924,71.5666773,,
4,245,0.081584339,19,0.006326949,12,0.003995968,99.69461092,0,21.10103128,74.92341256,,
5,262,0.087306187,10,0.003332297,8,0.002665838,100,0,11.94125964,81.36891231,,
6,255,0.084733815,10,0.003322895,14,0.004652053,100,0,17.5779876,78.50028085,,
7,222,0.073345485,15,0.004955776,2,6.61E-04,100,0,11.14329909,86.32214907,,
8,268,0.089167893,16,0.005323456,5,0.00166358,100,0,13.70813227,81.94495583,,
9,281,0.093231605,30,0.009953552,17,0.005640346,100,0,30.47243025,58.37411913,,
10,246,0.081592413,20,0.00663353,13,0.004311794,100,0,22.69575639,70.46704119,,
11,275,0.091636727,23,0.007664163,12,0.003998694,99.79991862,0,21.74176964,72.77155661,,
12,257,0.08473643,17,0.005605134,17,0.005605134,100,0,25.88523305,68.79509569,,
13,249,0.082878249,18,0.005991199,10,0.003328444,100,0,19.89328413,72.63998848,,
14,276,0.091563124,17,0.005639758,8,0.002654004,100,0,15.82465741,79.41231844,,
15,263,0.087651954,15,0.004999161,14,0.004665883,99.88761438,0,19.91388322,77.39293202,,
16,271,0.090257936,22,0.007327213,10,0.003330551,99.83666401,0,25.28851704,69.70042146,,
17,261,0.086939927,7,0.002331722,6,0.001998619,99.85091633,0,10.88174195,86.95193379,,
18,269,0.089663311,23,0.00766638,17,0.005666455,100,0,18.42060929,74.19456232,,
19,265,0.088121307,13,0.004322932,13,0.004322932,100,0,18.79240831,77.67108261,,
20,252,0.083834384,22,0.007318875,14,0.004657466,99.02253111,0.477256007,19.58243263,73.38784256,,
21,228,0.07589555,11,0.003661627,7,0.002330127,100,0,15.49210435,80.90897367,,
22,242,0.080470683,15,0.004987852,11,0.003657758,99.74797789,0,19.14936742,74.53798185,,
23,254,0.084656592,25,0.008332342,12,0.003999524,99.9752269,0.01113407,24.06932578,72.82648395,,
24,272,0.090526061,27,0.008986043,15,0.004992246,100,0,31.30537791,64.1272103,,
25,268,0.089182672,21,0.006988194,20,0.006655423,100,0,31.21457657,65.08185925,,
26,260,0.086451352,21,0.006982609,16,0.005320083,100,0,21.66464543,71.1161603,,
27,265,0.088324738,23,0.007665921,9,0.002999708,99.95864417,0,22.13635092,71.22816153,,
28,257,0.085633437,23,0.007663693,15,0.004998061,100,0,22.62530922,71.01467538,,
29,246,0.081948004,13,0.004330586,10,0.00333122,100,0,17.40260854,76.25143464,,
30,243,0.08051076,16,0.00530112,15,0.0049698,100,0,19.97899445,66.22807083,,
31,270,0.089878779,28,0.009320762,16,0.00532615,100,0,21.56807753,67.22599436,,
32,265,0.087462765,24,0.007921156,18,0.005940867,100,0,30.59811038,64.11818916,,
33,246,0.081969883,18,0.005997796,15,0.004998164,99.87412915,0,22.69968155,69.69077019,,
34,279,0.092980421,16,0.00533221,11,0.003665895,99.85201564,0.062527612,16.53740315,76.22625556,,
35,266,0.088575654,28,0.009323753,16,0.005327859,99.88324392,0,36.00443612,60.17420612,,
36,253,0.082419377,21,0.006841134,23,0.007492671,100,0,28.28083946,64.81619739,,
37,272,0.09011725,16,0.005301015,13,0.004307074,100,0,22.7544288,71.74261111,,
38,263,0.087651168,13,0.004332567,8,0.002666195,100,0,13.81913165,82.93417776,,
39,29,0.06650306,3,0.006879627,3,0.006879627,83.10530794,16.32127469,37.65006251,48.30942357,,
40,241,0.080315178,18,0.005998644,11,0.003665838,100,0,21.53974398,71.05577632,,
41,255,0.084987715,10,0.003332852,8,0.002666281,99.943828,0,17.32512964,78.0533596,,
42,269,0.089624184,21,0.006996684,13,0.00433128,99.24727498,0.694964239,22.88987595,70.79453293,,
43,274,0.091156276,17,0.005655681,10,0.003326871,100,0,18.75484371,77.01809671,,
44,257,0.085646511,13,0.004332314,9,0.002999294,100,0,11.30524595,84.16366849,,
45,239,0.079614294,20,0.006662284,11,0.003664256,100,0,18.92531158,74.03546158,,
46,262,0.087315875,17,0.005665534,12,0.0039992,100,0,19.62118728,75.98155562,,
47,259,0.085899396,14,0.004643211,9,0.002984921,100,0,13.54707455,80.89471275,,
48,237,0.078943722,21,0.006995013,10,0.003330959,100,0,14.46806914,77.55236749,,"T alpha=0.05,n=48"
MEAN,253.2244898,0.085353244,17.91836735,0.006077187,12.02040816,0.004114756,99.57857025,0.360845964,20.81107562,73.26685927,,2
STD,35.94745315,0.005707178,5.60445037,0.001721226,4.20064378,0.001376152,2.409504555,2.330645352,6.10741454,7.279441958,,
HALF-WIDTH,10.37713588,0.001647521,1.617865465,0.000496875,1.212621408,0.000397261,0.695564052,0.672799361,1.763058714,2.101393887,,
20% Error,50.64489796,0.017070649,3.583673469,0.001215437,2.404081633,0.000822951,19.91571405,0.072169193,4.162215125,14.65337185,,
FULL WIDTH,20.75427175,0.003295041,3.23573093,0.000993751,2.425242817,0.000794522,1.391128103,1.345598722,3.526117429,4.202787774,,
